id;type_animal;adopte_refuge;supplementaire;montant_jour;tarif_special
;LAPIN;NON;NON;5;False
;LAPIN;OUI;NON;4.5;False
;LAPIN;NON;OUI;2.5;False
;LAPIN;OUI;OUI;2.5;False
;COCHON_DINDE;NON;NON;5;False
;COCHON_DINDE;OUI;NON;4.5;False
;COCHON_DINDE;NON;OUI;2.5;False
;COCHON_DINDE;OUI;OUI;2.5;False
;CHINCHILLA;NON;NON;5;False
;CHINCHILLA;OUI;NON;4.5;False
;LAPIN;NON;NON;7;True
;LAPIN;OUI;NON;6;True
;LAPIN;NON;OUI;2.5;True
;LAPIN;OUI;OUI;2.5;True
;COCHON_DINDE;NON;NON;7;True
;COCHON_DINDE;OUI;NON;6;True
;COCHON_DINDE;NON;OUI;2.5;True
;COCHON_DINDE;OUI;OUI;2.5;True
;CHINCHILLA;NON;NON;3;True
;CHINCHILLA;OUI;NON;2.7;True
